operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count
list,10,50,5,thread,0.05409255504608154,0.01592123508453369,0.003469228744506836,1.021679162979126,0,0,0,0,50,0
list,50,1,5,thread,0.0009584426879882812,0.0009584426879882812,0.0009584426879882812,0.0009584426879882812,0,0,0,0,1,0
list,50,5,5,thread,0.0038078784942626952,0.00391077995300293,0.0030107498168945312,0.004589557647705078,0,0,0,0,5,0
list,50,50,5,thread,0.11337784290313721,0.01416170597076416,0.004312992095947266,1.0788884162902832,0,0,0,0,50,0
list,100,1,5,thread,0.0008499622344970703,0.0008499622344970703,0.0008499622344970703,0.0008499622344970703,0,0,0,0,1,0
list,100,5,5,thread,0.003365230560302734,0.0035648345947265625,0.0025022029876708984,0.0039937496185302734,0,0,0,0,5,0
list,100,50,5,thread,0.052686667442321776,0.014070272445678711,0.003751993179321289,1.0203149318695068,0,0,0,0,50,0
download,10,1,5,thread,0.1309645175933838,0.1309645175933838,0.1309645175933838,0.1309645175933838,80065655.8943392,80065655.8943392,80065655.8943392,80065655.8943392,1,0
download,10,5,5,thread,0.6098714828491211,0.5762238502502441,0.5167651176452637,0.7480652332305908,17459402.079192597,18197372.41949672,14017173.281421259,20291152.86995437,5,0
download,10,50,5,thread,2.401111043229395,2.4256129264831543,0.5525050163269043,4.242284297943115,6146159.272418651,4322932.107392372,2471724.963148758,18978578.818542022,49,1
download,50,1,5,thread,1.6431419849395752,1.6431419849395752,1.6431419849395752,1.6431419849395752,31907650.39207979,31907650.39207979,31907650.39207979,31907650.39207979,1,0
download,50,5,5,thread,6.09439868927002,6.1739819049835205,5.290103912353516,6.672207593917847,8662528.251460316,8491894.017000677,7857789.084349276,9910731.597836409,5,0
download,50,50,5,thread,20.1895662762902,20.96437096595764,3.902486801147461,35.21984362602234,3846285.4776741355,2501403.9438261157,1488615.3543641162,13434715.521544926,44,6
download,100,1,5,thread,3.5871078968048096,3.5871078968048096,3.5871078968048096,3.5871078968048096,29231794.252244588,29231794.252244588,29231794.252244588,29231794.252244588,1,0
download,100,5,5,thread,19.69403600692749,19.791077852249146,18.169103145599365,20.752327919006348,5335225.294380347,5298225.836046798,5052811.444058019,5771203.958704861,5,0
download,100,50,5,thread,93.64547341346741,97.12258338928223,10.32550573348999,166.83267784118652,2103237.1712405887,1081181.3432000543,628519.5523853989,10155202.341315096,50,0

upload,10,1,5,thread,10.22799801826477,10.22799801826477,10.22799801826477,10.22799801826477,1025201.606538731,1025201.606538731,1025201.606538731,1025201.606538731,1,0
upload,10,5,5,thread,1.267047071456909,1.309345006942749,0.9165887832641602,1.570810317993164,8533120.784519637,8008401.104674231,6675382.686177156,11439982.892500674,5,0
upload,10,50,5,thread,6.990869040489197,7.005318284034729,4.8820672035217285,9.04647159576416,1545582.7211389577,1496943.2718107272,1159099.4222443323,2147811.482897243,50,0
upload,50,1,5,thread,2.0505483150482178,2.0505483150482178,2.0505483150482178,2.0505483150482178,25568185.648318734,25568185.648318734,25568185.648318734,25568185.648318734,1,0
upload,50,5,5,thread,5.4907310962677,6.373923301696777,3.8265154361724854,6.630062103271484,10172234.219033832,8225514.729059123,7907738.899478778,13701447.40679329,5,0
upload,50,50,5,thread,159.91190636634826,173.2976348400116,96.68485283851624,194.9780468940735,344864.09083919344,302536.26900815533,268895.9133357367,542264.8787351104,50,0
upload,100,1,5,thread,2.799494743347168,2.799494743347168,2.799494743347168,2.799494743347168,37455901.72983458,37455901.72983458,37455901.72983458,37455901.72983458,1,0
upload,100,5,5,thread,10.749373483657838,10.923693180084229,9.522228956222534,11.690802574157715,9817025.9875353,9599097.875723336,8969238.795614053,11011875.526420547,5,0
upload,100,50,5,thread,554.3181060314179,570.8705399036407,457.0269331932068,608.0369927883148,190393.72340091906,183680.28000694746,172452.66528792545,229434.1807546641,50,0


upload,10,1,50,thread,0.11616158485412598,0.11616158485412598,0.11616158485412598,0.11616158485412598,90268740.85066818,90268740.85066818,90268740.85066818,90268740.85066818,1,0
upload,10,5,50,thread,0.4471473693847656,0.5153012275695801,0.2894587516784668,0.5186183452606201,24710890.570346937,20348796.857046355,20218644.58869193,36225403.23689252,5,0
upload,10,50,50,thread,3.9063336992263795,3.995989680290222,2.2834110260009766,4.671239137649536,2754382.3111595507,2624117.0261265864,2244749.13208494,4592147.39729277,50,0
upload,50,1,50,thread,0.7660465240478516,0.7660465240478516,0.7660465240478516,0.7660465240478516,68440751.77439876,68440751.77439876,68440751.77439876,68440751.77439876,1,0
upload,50,5,50,thread,3.2483379364013674,3.3819568157196045,2.705643653869629,3.649601936340332,16308755.10743785,15502504.27690465,14365621.488181641,19377570.259489268,5,0
upload,50,50,50,thread,198.35580496311186,215.91326653957367,126.87136435508728,225.82749819755554,269472.99551092024,242823.50590673042,232163.04665490694,413243.7628183961,50,0
upload,100,1,50,thread,2.2921841144561768,2.2921841144561768,2.2921841144561768,2.2921841144561768,45745714.46451089,45745714.46451089,45745714.46451089,45745714.46451089,1,0
upload,100,5,50,thread,11.312772226333617,11.117916345596313,9.895856618881226,12.820634126663208,9392670.464608489,9431407.535417639,8178815.413032226,10596111.4877041,5,0
upload,100,50,50,thread,828.5446585559845,877.3100882768631,512.0889041423798,953.000373840332,131050.13985884617,119523.05714616326,110028.9180133817,204764.44451693428,50,0

download,10,1,50,thread,0.1254289150238037,0.1254289150238037,0.1254289150238037,0.1254289150238037,83599224.2937765,83599224.2937765,83599224.2937765,83599224.2937765,1,0
download,10,5,50,thread,0.4093019962310791,0.45285463333129883,0.15332698822021484,0.583479642868042,32105384.40831196,23154803.39212703,17971081.13053985,68388221.28913078,5,0
download,10,50,50,thread,3.098777834962054,2.6750648021698,0.17508292198181152,7.398177862167358,5320404.361283526,3919815.322415661,1417343.5939708685,59890250.18150721,41,9
download,50,1,50,thread,0.9449353218078613,0.9449353218078613,0.9449353218078613,0.9449353218078613,55484009.10624508,55484009.10624508,55484009.10624508,55484009.10624508,1,0
download,50,5,50,thread,3.872898483276367,4.035980701446533,3.0609660148620605,4.180296421051025,13718421.325935034,12990349.527986849,12541885.722739767,17128187.554334104,5,0
download,50,50,50,thread,12.78564018952219,14.196537017822266,5.946460723876953,15.407387018203735,4367261.789994068,3693069.6503084614,3402835.2723311023,8816807.582614899,19,31
download,100,1,50,thread,2.4175968170166016,2.4175968170166016,2.4175968170166016,2.4175968170166016,43372658.030464284,43372658.030464284,43372658.030464284,43372658.030464284,1,0
download,100,5,50,thread,10.705210638046264,10.880672931671143,9.627962112426758,11.749397277832031,9846295.102275569,9637051.003967188,8924508.85100619,10890944.394625409,5,0
download,100,50,50,thread,206.10655569500392,203.5604681968689,135.87988758087158,248.9023141860962,519946.3933206662,515117.69907401345,421280.1329022653,771693.3084566466,45,5
list,10,1,50,thread,0.0009469985961914062,0.0009469985961914062,0.0009469985961914062,0.0009469985961914062,0,0,0,0,1,0
list,10,5,50,thread,0.003407573699951172,0.0032405853271484375,0.002828836441040039,0.004221439361572266,0,0,0,0,5,0
list,10,50,50,thread,0.33709818758863086,0.011192083358764648,0.001772165298461914,3.0955827236175537,0,0,0,0,47,3
list,50,1,50,thread,0.0008084774017333984,0.0008084774017333984,0.0008084774017333984,0.0008084774017333984,0,0,0,0,1,0
list,50,5,50,thread,0.009232282638549805,0.009319543838500977,0.00838327407836914,0.010051965713500977,0,0,0,0,5,0
list,50,50,50,thread,0.40660171305879633,0.01286768913269043,0.003620147705078125,1.2229280471801758,0,0,0,0,47,3
list,100,1,50,thread,0.0007839202880859375,0.0007839202880859375,0.0007839202880859375,0.0007839202880859375,0,0,0,0,1,0
list,100,5,50,thread,0.003993606567382813,0.0040454864501953125,0.0030503273010253906,0.005055665969848633,0,0,0,0,5,0
list,100,50,50,thread,0.4392193193021028,0.010830283164978027,0.0033626556396484375,3.1168646812438965,0,0,0,0,46,4
list,10,1,50,process,0.185868501663208,0.185868501663208,0.185868501663208,0.185868501663208,0,0,0,0,0,0
list,10,5,50,process,0.34326858520507814,0.14443230628967285,0.11848688125610352,1.143913745880127,0,0,0,0,0,0
